attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
,,,,,,,,,,,,,,,3ZVKmuK2l7uXPE6lXY4Dbg,,,,,"[u'Home Services', u'Contractors']",,,Quaker State Construction,,,,,,,,,,,,,3,,PA,,,,,,"8 Logan St
Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,2.5,,business,,,40.406323,,,-80.0903575,,,,,,,,,,,,,,,,,,,,,,,,[u'Carnegie'],,,,
,,,,,,,,,,,,,,,QoDa50dc7g62xciFygXB9w,,,,,"[u'Veterinarians', u'Pets']",,,Greentree Animal Clinic,,,,,,,,,,,,,5,,PA,,,,,,"2080 Greentree Rd
Pittsburgh, PA 15220",,,,,,,,,,,,,TRUE,Pittsburgh,,,4,,business,,,40.3922071,,,-80.0691338,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,,,,,,,,,,,,,1_lU0-eSWJCRvNGk78Zh9Q,,,,,"[u'Libraries', u'Public Services & Government']",,,Carnegie Free Library,,,,,,,,,,,,,3,,PA,,,,,,"300 Beechwood Ave
Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,4.5,,business,,,40.4068423,,,-80.0858661,,,,,,,,,,,,,,,,,,,,,,,,[u'Carnegie'],,,,
,,,,,,,,,,,,,,,_qopVQ6_Mz6W7-Pmbi56GQ,,,,,"[u'Automotive', u'Auto Parts & Supplies']",,,Advance Auto Parts,,,,,,,,,,,,,3,,PA,,,,,,"1011 Washington Ave
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,3.5,,business,,,40.3983526,,,-80.0824517,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,8:00,,,,,8:00,FALSE,FALSE,none,,,FALSE,wJr6kSA5dchdgOdwH6dZ2w,,,8:00,FALSE,"[u'Burgers', u'Breakfast & Brunch', u'American (Traditional)', u'Restaurants']",TRUE,8:00,Kings Family Restaurant,FALSE,,,,,,,1,FALSE,FALSE,,,8,,PA,TRUE,2:00,FALSE,FALSE,TRUE,"2100 Washington Pike
Carnegie, PA 15106",2:00,,FALSE,,,FALSE,8:00,,,FALSE,2:00,,TRUE,Carnegie,TRUE,,3.5,,business,,,40.3875124,FALSE,,-80.0932152,2:00,,2:00,2:00,TRUE,FALSE,8:00,,,,,2:00,,,,FALSE,,8:00,,,casual,,TRUE,[],,,,
,,,0:00,,,,,0:00,,,,,,TRUE,yXuao0pFz1AxB21vJjDf5w,,,0:00,,"[u'Food', u'Grocery']",,0:00,Shop N' Save,FALSE,,,,,,,1,,FALSE,,,4,,PA,TRUE,0:00,,FALSE,,"2100 Washington Pike
Carnegie, PA 15106",0:00,,,,,,0:00,,,,0:00,,TRUE,Carnegie,TRUE,,4,,business,,,40.3875124,,,-80.0932152,0:00,,0:00,0:00,,FALSE,0:00,,,,,0:00,,,,,,0:00,,,,,,[],,,,
,,,,,,,,,,,,,,,F04xyOUA2xnUoCiWpx9iJA,,,,,"[u'Local Services', u'Dry Cleaning & Laundry', u'Sewing & Alterations']",,,Rossi Tailoring & Cleaners,,,,,,,,,,,,,3,,PA,TRUE,,,,,"Bower Hill Rd & Vanadium Rd
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,3,,business,,,40.36882468,,,-80.08435366,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,,,,,,,,,,,,,Cdcus0NADzyY3XiJM2O5Sg,,,,,"[u'Automotive', u'Gas & Service Stations']",,,Heidelberg B P,,,,,,,,,,,,,4,,PA,,,,,,"1927 E Railroad St
Carnegie, PA 15106",,,,,,,,,,,,,FALSE,Carnegie,,,3,,business,,,40.388284,,,-80.089241,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
FALSE,,,11:00,,,,,11:00,FALSE,FALSE,full_bar,FALSE,,TRUE,fNGIbpazjTRdXgwRY_NIXA,FALSE,,11:00,FALSE,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Lounges', u'Restaurants']",TRUE,11:00,Rocky's Lounge,FALSE,FALSE,,,,,,1,FALSE,FALSE,,FALSE,7,,PA,TRUE,23:00,FALSE,FALSE,TRUE,"1201 Washington Ave
Carnegie, PA 15106",23:00,,FALSE,,,FALSE,11:00,,FALSE,FALSE,23:00,free,TRUE,Carnegie,TRUE,,4,,business,FALSE,FALSE,40.3964688,FALSE,FALSE,-80.0849416,23:00,,23:00,23:00,TRUE,FALSE,,,FALSE,,TRUE,,FALSE,,FALSE,,,11:00,average,no,casual,,TRUE,[],,FALSE,,FALSE
TRUE,,,6:00,TRUE,,,FALSE,6:00,FALSE,FALSE,none,FALSE,,TRUE,b9WZJp5L1RZr4F1nxclOoQ,FALSE,FALSE,6:00,FALSE,"[u'Breakfast & Brunch', u'Sandwiches', u'Restaurants']",TRUE,6:00,Gab & Eat,FALSE,FALSE,yes_free,,,,,1,TRUE,FALSE,,,58,,PA,FALSE,14:30,FALSE,FALSE,TRUE,"1073 Washington Ave
Carnegie, PA 15106",14:30,,FALSE,,,FALSE,6:00,,FALSE,FALSE,14:30,no,TRUE,Carnegie,FALSE,,4.5,,business,FALSE,FALSE,40.3980741,FALSE,,-80.0833859,14:30,,14:30,12:30,TRUE,FALSE,7:00,,,,TRUE,12:30,FALSE,,,,,6:00,average,,casual,,FALSE,[],,FALSE,,FALSE
FALSE,,,7:00,,,,,7:00,FALSE,FALSE,none,FALSE,,FALSE,zaXDakTd3RXyOa7sMrUE1g,FALSE,,7:00,TRUE,"[u'Cafes', u'Restaurants']",TRUE,7:00,Barb's Country Junction Cafe,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,6,,PA,TRUE,14:00,FALSE,FALSE,TRUE,"202 3rd Ave
Carnegie
Carnegie, PA 15106",14:00,,FALSE,,,FALSE,7:00,,FALSE,FALSE,14:00,,TRUE,Carnegie,,,3.5,,business,,FALSE,40.404638,FALSE,,-80.089985,14:00,,14:00,12:00,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,7:00,average,,casual,,TRUE,[u'Carnegie'],,FALSE,,FALSE
,,,0:00,,,,,0:00,,,,,,,zgy27FSnvwdINfk5cXBIyQ,,,0:00,,"[u'Hotels & Travel', u'Event Planning & Services', u'Hotels']",,0:00,Extended Stay America - Pittsburgh - Carnegie,,,,,,,,2,,,,,7,,PA,TRUE,0:00,,,,"520 North Bell Avenue
Carnegie
Carnegie, PA 15106",0:00,,,,,,0:00,,,,0:00,free,TRUE,Carnegie,,,3.5,,business,,,40.417419,,,-80.088557,0:00,,0:00,0:00,,,0:00,,,,,0:00,,,,,,0:00,,,,,,[u'Carnegie'],,,,
FALSE,,,,,,,,,TRUE,TRUE,full_bar,FALSE,,FALSE,WETE_LykpcnrC1sFcQ5EGg,FALSE,,,FALSE,"[u'Pubs', u'Irish', u'Nightlife', u'Bars', u'Restaurants']",TRUE,,Paddy's Pour House,TRUE,FALSE,,,TRUE,,FALSE,2,FALSE,FALSE,FALSE,FALSE,7,,PA,TRUE,,FALSE,FALSE,TRUE,"215 E Main St
Carnegie
Carnegie, PA 15106",,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,,,FALSE,Carnegie,,,3,,business,,FALSE,40.40867,TRUE,FALSE,-80.085279,,,,,FALSE,FALSE,,,FALSE,,TRUE,,FALSE,,,,,,average,,casual,,TRUE,[u'Carnegie'],,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,6o3RK6rTcN3nw-j-r2nQmA,,,,,[],,,Porto Fino Pizzaria & Gyro,,,,,,,,,,,,,4,,PA,,,,,,"231 E Main St
Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,2.5,,business,,,40.4088068,,,-80.0848871,,,,,,,,,,,,,,,,,,,,,,,,[u'Carnegie'],,,,
,,,8:30,,,,,8:30,,,,,,,woOVJ0Z2f6XNCDntHA3b_g,,,8:30,,"[u'Local Services', u'Sewing & Alterations']",,8:30,Alteration World,,,,,,,,,,,,,10,,PA,FALSE,19:00,,,,"117 E Mall Plz
Carnegie
Carnegie, PA 15106",19:00,,,,,,8:30,,,,19:00,,TRUE,Carnegie,,,4.5,,business,,,40.4068712,,,-80.0876046,19:00,,19:00,18:30,,,,,,,,,,,,,,8:30,,,,,,[u'Carnegie'],,,,
,,,,,,,,,,,,,,,YX_cdwb0A62hdQRBiZJgtQ,,,,,"[u'Automotive', u'Body Shops']",,,Greentree Auto Body,,,,,,,,,,,,,3,,PA,,,,,,"301 Noblestown Rd
East Carnegie
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,2.5,,business,,,40.4165426,,,-80.0667012,,,,,,,,,,,,,,,,,,,,,,,,[u'East Carnegie'],,,,
FALSE,,,,,,,,,,FALSE,none,FALSE,,FALSE,rv7CY8G_XibTx82YhuqQRw,FALSE,,,,[u'Restaurants'],FALSE,,Long John Silver's,FALSE,FALSE,,,,,,1,,FALSE,,,5,,PA,TRUE,,,FALSE,TRUE,"Raceway Plz
Carnegie, PA 15106",,,,,,FALSE,,,FALSE,FALSE,,no,TRUE,Carnegie,TRUE,,3.5,,business,FALSE,FALSE,40.3868915,,,-80.0937037,,,,,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,,average,,casual,,TRUE,[],,FALSE,,FALSE
,,,,,,,,,,,,,TRUE,,e_U_FnpdKVgNb4mUN2cU_Q,,,,,"[u'Health & Medical', u'Dentists', u'General Dentistry']",,,"Weinberg Lisa, DMD",,,,,,,,,,,,,8,,PA,,,,,,"2323 Greentree Rd
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,3,,business,,,40.39076,,,-80.078657,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
,,,,,,,,,,FALSE,none,,,FALSE,SQ0j7bgSTazkVQlF5AnqyQ,,,,,"[u'Chinese', u'Restaurants']",FALSE,,Don Don Chinese Restaurant,FALSE,,,,,,,1,,FALSE,,,9,,PA,TRUE,,,FALSE,TRUE,"214 E Main St
Carnegie
Carnegie, PA 15106",,,,,,,,,,TRUE,,,TRUE,Carnegie,,,2.5,,business,,,40.4083473,,,-80.0849615,,,,,TRUE,FALSE,,,,,TRUE,,,,,,,,quiet,,casual,,FALSE,[u'Carnegie'],,,,
,,,9:00,,,,,9:00,,,,,,,L0YSY79uzz_FIInvKmvyIw,,,9:00,,"[u'Health & Medical', u'Dentists', u'General Dentistry']",,9:00,West Penn Dental Centers,,,,,,,,,,,,,4,,PA,,15:00,,,,"312 2nd Ave
Carnegie
Carnegie, PA 15106",18:00,,,,,,,,,,18:00,,TRUE,Carnegie,,,4,,business,,,40.4031063,,,-80.0904271,16:00,,16:00,,,,,,,,,,,,,,,12:00,,,,,,[u'Carnegie'],,,,
FALSE,,,0:00,,,,,0:00,FALSE,FALSE,none,FALSE,,FALSE,wqu7ILomIOPSduRwoWp4AQ,FALSE,,0:00,TRUE,"[u'American (Traditional)', u'Restaurants']",TRUE,0:00,Denny's,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,9,,PA,TRUE,0:00,FALSE,FALSE,TRUE,"2180 Greentree Rd
Pittsburgh, PA 15220",0:00,,FALSE,,,FALSE,0:00,,FALSE,FALSE,0:00,no,TRUE,Pittsburgh,,,4,,business,FALSE,FALSE,40.39114,FALSE,,-80.073788,0:00,,0:00,0:00,TRUE,FALSE,0:00,,,,FALSE,0:00,FALSE,,,,,0:00,average,,casual,,TRUE,[],,FALSE,,FALSE
,,,,,,,,,,,,,,,1u2NauOy8xDj7aFQET680A,,,,,"[u'Active Life', u'Gyms', u'Trainers', u'Fitness & Instruction']",,,Amerifit,,,,,,,,,,,,,6,,PA,,,,,,"100 Roessler Rd
Carnegie, PA 15106",,,,,,,,,,,,,TRUE,Carnegie,,,3,,business,,,40.394305,,,-80.060154,,,,,TRUE,,,,,,,,,,,,,,,,,,,[],,,,
FALSE,,,11:00,,,,,11:00,FALSE,TRUE,full_bar,FALSE,,TRUE,P1fJb2WQ1mXoiudj8UE44w,FALSE,,11:00,FALSE,"[u'Restaurants', u'Italian']",TRUE,11:00,Papa J's,TRUE,FALSE,,,,,,2,FALSE,FALSE,,,64,,PA,TRUE,23:00,FALSE,FALSE,TRUE,"200 E Main St
Carnegie
Carnegie, PA 15106",22:00,,FALSE,,,TRUE,11:00,,FALSE,FALSE,22:00,no,TRUE,Carnegie,TRUE,,3.5,,business,TRUE,FALSE,40.4081422,TRUE,,-80.0851737,22:00,,22:00,23:00,TRUE,FALSE,11:00,,,,TRUE,21:00,TRUE,,,,,11:00,average,,casual,,TRUE,[u'Carnegie'],,FALSE,,FALSE
FALSE,,,10:30,,,,,10:30,,FALSE,none,FALSE,,,8QlnAcjGE6dgfKTVoxrPvQ,FALSE,,10:30,,"[u'American (Traditional)', u'Comfort Food', u'Caterers', u'Event Planning & Services', u'Restaurants']",FALSE,10:30,Boston Market,,FALSE,,,,,,2,,,,,3,,PA,TRUE,22:00,,,TRUE,"300 Davis Blvd
Etna
Pittsburgh, PA 15275",22:00,,,,,FALSE,10:30,,FALSE,FALSE,22:00,no,TRUE,Pittsburgh,FALSE,,2.5,,business,FALSE,FALSE,40.495167,,,-79.958717,22:00,,22:00,22:00,TRUE,,10:30,,,,FALSE,21:00,FALSE,,,,,10:30,quiet,,casual,,FALSE,[u'Etna'],,FALSE,,FALSE
FALSE,,,10:00,,,,,10:00,,FALSE,,FALSE,,,t_gan0EXAw8csKIeFyazJw,FALSE,,10:00,,"[u'Italian', u'Pizza', u'Restaurants']",TRUE,10:00,Homestead Capri Pizza,,FALSE,,,,,,1,,,,,3,,PA,TRUE,1:30,,,TRUE,"820 Amity St
Homestead
Homestead, PA 15120",0:00,,,,,,10:00,,FALSE,TRUE,0:00,,TRUE,Homestead,,,3.5,,business,,FALSE,40.4067047,,,-79.9105266,0:00,,0:00,1:30,,,11:00,,,,FALSE,23:00,FALSE,,,,,10:00,average,,,,TRUE,[u'Homestead'],,FALSE,,FALSE
,,,6:00,,,,,7:00,,TRUE,,,,FALSE,3gmBc0qN_LtGbZAjTtHWZg,,,6:00,,"[u'Food', u'Coffee & Tea']",,6:00,Starbucks,TRUE,,,,,,,2,,FALSE,,,20,,PA,TRUE,22:30,,FALSE,,"270 W Bridge St
Homestead
Homestead, PA 15120",22:30,,,,,,7:00,,,,21:30,free,TRUE,Homestead,TRUE,,3.5,,business,,,40.407091,,,-79.916958,21:30,,21:30,21:00,,FALSE,6:00,,,,,21:30,,,,,,6:00,,,,,,[u'Homestead'],,,,
,,,,,,,,,,,,,,,sZ4uYs99km644ZMR1TO76A,,,,,"[u'Pubs', u'Bars', u'Nightlife']",,,Randy's Beer Barrel Pub,,,,,,,,,,,,,3,,PA,,,,,,"3619 Main St
Homestead, PA 15120",,,,,,,,,,,,,TRUE,Homestead,,,2.5,,business,,,40.3846329,,,-79.9036345,,,,,,,,,,,,,,,,,,,,,,,TRUE,[],,,,
,,,9:00,,,,,9:00,,,,,,TRUE,yHTLTr-QN-loO_7XoxS8qg,,,9:00,,"[u'Arts & Crafts', u'Shopping', u'Knitting Supplies', u'Hobby Shops']",,9:00,Michaels,TRUE,,,,,,,2,,FALSE,,,8,,PA,TRUE,21:00,,FALSE,,"660 Waterfront Dr E
Homestead
Munhall, PA 15120",21:00,,,,,,9:00,,,,21:00,,TRUE,Munhall,,,3,,business,,,40.4140637,,,-79.9037778,21:00,,21:00,21:00,,FALSE,10:00,,,,,19:00,,,,,,9:00,,,,,,[u'Homestead'],,,,
,,,,,,,,,,,,,,FALSE,iQLLIdmJSt6LQHSjpZERLA,,,,,"[u'Gift Shops', u'Flowers & Gifts', u'Shopping', u'Home Decor', u'Home & Garden']",,,Yankee Candle Co.,FALSE,,,,,,,2,,FALSE,,,3,,PA,TRUE,,,FALSE,,"138 W Bridge St
Homestead
Homestead, PA 15120",,,,,,,,,,,,,TRUE,Homestead,,,4,,business,,,40.4075854,,,-79.9163491,,,,,,FALSE,,,,,,,,,,,,,,,,,,[u'Homestead'],,,,
FALSE,,,0:00,,,,,0:00,TRUE,FALSE,none,FALSE,,TRUE,6ilJq_05xRgek_8qUp36-g,FALSE,,0:00,FALSE,"[u'Burgers', u'Fast Food', u'Restaurants']",TRUE,0:00,Steak 'n Shake,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,48,,PA,TRUE,0:00,FALSE,FALSE,TRUE,"650 E  Waterfront Dr
Homestead
Munhall, PA 15120",0:00,,FALSE,,,FALSE,0:00,,FALSE,FALSE,0:00,no,TRUE,Munhall,TRUE,,2,,business,FALSE,FALSE,40.413496,FALSE,,-79.9044562,0:00,,0:00,0:00,TRUE,FALSE,0:00,,,,FALSE,0:00,TRUE,,,TRUE,,0:00,average,,casual,,TRUE,[u'Homestead'],,FALSE,,FALSE
,,,,,,,,,,,,,,FALSE,57HN9fGRar_GckBmgHgemA,,,,,"[u'Department Stores', u'Fashion', u'Shopping']",,,Filene's Basement,FALSE,,,,,,,2,,FALSE,,,6,,PA,,,,FALSE,,"280 Waterfront Dr E
Homestead
Homestead, PA 15120",,,,,,,,,,,,,FALSE,Homestead,TRUE,,4,,business,,,40.4116978,,,-79.9124082,,,,,,FALSE,,,,,,,,,,,,,,,,,,[u'Homestead'],,,,
FALSE,,TRUE,18:00,,,,,18:00,TRUE,FALSE,full_bar,FALSE,,TRUE,MKyk4F4HSzHF8v-4cYe3Ww,FALSE,,,FALSE,"[u'Bars', u'Nightlife']",TRUE,,Sing Sing,FALSE,FALSE,,,TRUE,,FALSE,2,FALSE,FALSE,FALSE,TRUE,30,,PA,TRUE,2:00,FALSE,FALSE,FALSE,"171 E Bridge St
Homestead
Homestead, PA 15120",2:00,,FALSE,FALSE,,TRUE,18:00,,FALSE,FALSE,,no,TRUE,Homestead,TRUE,,3.5,,business,FALSE,FALSE,40.4094353,FALSE,FALSE,-79.9152619,,,,2:00,FALSE,FALSE,,,FALSE,,FALSE,,TRUE,,,,,,very_loud,no,casual,,TRUE,[u'Homestead'],,FALSE,FALSE,FALSE
